type_of_prompt,temperature,n_oov,oov_words
positive,0.1,0,[]
positive,0.1,0,[]
positive,0.7,0,[]
positive,0.7,1,['adulte']
positive,0.7,0,[]
positive,0.7,1,['adulte']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['bogge']
positive,0.7,1,['flâneur']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,2,"['overthinke', 'overthinke']"
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['talente']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,1,['adulte']
positive,0.7,0,[]
positive,0.7,4,"['...', '...', 'exhilarate', '...']"
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,2,"['exhilarate', 'exhilarate']"
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['reconnecte']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,1,['exhilarate']
positive,0.7,0,[]
positive,0.7,0,[]
positive,0.7,4,"['...', '...', '...', '...']"
positive,0.7,0,[]
positive,0.7,0,[]
positive,1.3,69,"['fiste', 'sorpresa', 'unseeable', 'thetery', 'practis', 'comsequence', 'frü', 'determinantedy', 'scumm', 'surelysparely', 'advantageibly', 'mindvatile', 'ultrastantial', 'prece', 'omber', 'deadstruck', 'opend', 'yorkl', 'vibr', 'teacifiwh', 'anelen', 'compen', 'insteaditty', 'weightty', 'balat', 'petbill', 'arom', 'zviv', 'peripher', 'forld', 'prech', 'msfty', 'datty', 'referatant', 'articial', 'ontin', 'consultm', 'cruf', 'butterfl', 'peoblem', 'fles', 'peablo', 'nonsha', 'everythingpro', 'sprs', 'solvedць', 'theod', 'metho', 'analysisg', 'espsq', 'klif', 'сезо', 'cycl', 'seréius', 'elabor', 'expans', 'likemon', 'regup', 'acrolocal', 'skillion', 'glrn', 'espec', 'complex概', 'generateí', 'uniqu', 'counselided', 'grib', 'cunto', 'buildavi']"
positive,1.3,109,"['nritual', 'crazyific', 'rentmodule', 'clockworkened', 'bluepetal', 'implanter', 'dactlholder', 'p寸rf', 'forkluost', 'divg', 'hellcpp', 'intellig', 'erpi값', 'pionee', 'itato', 'atro', 'cordie', 'edific', 'prend', '-ilians', 'heinelf', 'acjustly', 'magnli', 'condev', 'unité', 'separ', 'més', 'fgan', 'před', 'substr', 'whther', 'exilor', 'submarit', 'méd', 'memax', 'instch', 'rungle', 'reboard', 'addinv', 'gmk', 'presum', 'assum', 'impli', 'preserv', 'extro', 'tostre', 'demograph', 'antless', 'extens', 'dön', 'stockisson', 'notephi', 'appropriagement', 'entire仅', 'agrist', 'craz', 'contributautos', 'tossi', 'absor', 'uniqu', 'mirent', 'satisfrm', 'highly抛', 'atag', 'stirke', 'alumin', 'hetarian', 'argwall', 'tryingc', 'drestedly', 'aument', 'mandf', 'laul', 'finoptimize', 'compli', 'architectual', 'autom', 'sleeveen', 'murm', 'donald.ly', 'posstr', 'scrut', 'pl\u200e', 'verifi', 'scarc', 'closehardset', 'associ', 'easq', 'standang', 'eug', 'decre', 'recepin', 'rσmk', 'plurist', 'appreci_-', 'fa를', 'createrile', 'renoun', 'orchet', 'allanm', 'preced', 'windowhood', 'preserv', 'frequ', 'felt禁rick', 'acestrv', 'butral', 'endange', 'danção']"
positive,1.3,360,"['groundbreake', 'drynav', 'multiindex', 'delriba', 'basedem', 'qon', 'ancorapth', 'deker', 'toleranc', 'troج', 'diagn', 'gigous', 'templ', 'equivalus', 'wiseban', 'fauc', 'miscs', 'citizensnat', 'solf', 'над', 'simpic', 'supergherk', 'volumeip', 'out達primary', 'modeledau', 'developpathymer', 'wasex', 'whosten', 'geolilib', 'paase', '•пад', 'negoti', 'cycat', 'globet', 'zakt', 'эst', 'domidae', 'averagea', 'cityveler', 'appropriat', 'lastevery', 'neighb', 'noneapt', 'cardederm', 'assidasi', 'alteris', 'originar侗', 'expans', 'alphan', 'ibile', 'ar존', 'manif', 'rendun', 'interceptv', 'longitud', 'embedorenic', 'compet', 'backgr', 'barly', 'mär', 'whatide', 'printrunner', 'averia', 'solila', 'glostens', 'strateg', 'effus', 'companyag', 'twent', 'overhol', 'utiltilt', 'survivinglessness', 'foldе', 'fuyearoni', 'dimin', 'unw', 'fdate', 'hunor', 'astool', 'unfall', 'rimge', 'incorpor', 'peatrough', 'shoreide', 'stadat', 'janhttp', 'sndoler', 'onclick', 'shippars', 'leaveizen', 'slotpe', 'financew', 'quentinian', 'decisivamente', 'metnym', 'parfinst', 'newspapernever', 'equaterm', 'over진', 'discrim', 'spont', 'forgant', 'supportž', 'hteachinguable', 'observ', 'linkser', 'märz', 'aptic', 'télem', 'keyster', 'specifik', 'pand', 'edasu', 'dgraph', 'asym', 'newhr', 'adry', 'losz', 'marchb', 'concentr', 'promš', 'thatq', 'eightisting', 'quar\xad', 'manif', 'scarc', 'palechoin', 'awopat', 'compet', 'freanny', 'componentpsi', 'enterx', 'didnaces', 'ottobre', 'hangt', 'withoutcamera', 'disconrez', 'velwindow', 'constcenla', 'feland', 'concl', '///', 'border디ve', 'datacem', 'honeyoga', 'reallyolvesen', 'fuprop', 'conced', 'antao', 'dба', 'accommod', 'spwhe', 'audioex', 'socsecond', 'jouroff', 'vibred', 'genivan', 'hornext', 'něbel', 'instraug', 'modelind／', 'юoint', 'tempell', 'medician', 'interscri', 'somet', 'bfuc', 'uniqu', 'köz', 'lyris', 'repbl', 'conallow', 'datam', 'glori', 'highlya', 'esteanoiss', 'expédition', 'traditionn', 'anăal', 'duport', 'conat', 'illumin', 'agolia', 'earlean', 'multi深', 'spraf', 'phholb', 'paleont', 'liability四', 'bach\xad', 'леw', 'botuation', 'poign', 'organiz', 'punche', 'shej', 'леjdbr', 'unre', 'semiṣ', 'ersed', 'sensationaud', 'magn', ""can'tinty"", 'kilomet', 'passfic', 'neopse', 'autom', 'smallг', 'instrumentar', 'wbcom', 'djan', 'giorn', 'calci', 'дляiday', 'or获取', 'safap', 'compet', 'juryigh', 'stiputh', 'settetrci', 'spgg', 'juicebar', 'strateg', 'psychon', 'после結', 'zara列', 'vibratoon', 'sovereig', 'primauté', 'earthid', 'lightь', 'hassats', 'execut', 'alreadym', 'encethod', 'veget', 'finiteholdersah', 'flyimg', 'realiz', 'sense\u200e', 'dedicy', 'attack棋且', 'addingdem', 'cгом', 'сов', 'relih', 'bijwaun', 'galla石commt', 'excellentappe', 'janussy', 'preshem/$', 'comparinguaig', 'adappro', 'avsen', 'devfx', 'dryab', 'regо', 'accompan', 'shpreeri', 'graviph', 'gradu', 'businessange', 'compellinglymod', 'basewith', 'conne留', 'seç', 'freelyc', 'unw', 'grassla', 'visbo', 'mobilprev', 'formatence', 'distributeetzer', 'blowfrom', 'gallivant', 'hallidan', 'attraς', 'orschá', 'equ組', 'hent', 'takingconst', 'mirabil', 'realisepintage', 'conten', 'dryxe', 'vari才後', 'globa', 'perpet', 'innf', 'judส', 'manip', 'fullyested', 'teambrachi', 'partt', 'ambitiousπパ', 'advanced過', 'walletgloss', 'repoarith', 'tsocl', 'preventingsh', 'illustr', 'hotogetherhere', 'rivship', 'buildinggr', 'quartmo', 'állボ点', 'depthdeserialize', 'atign', 'textパgetvalue', 'enjoig', 'dairesume', 'dsttax', 'etik', 'clkcken', 'mariolly', 'mesor', 'rein团', 'ruu', 'заr', 'aimedt', 'strateg', 't性end', 'coffuloadd', 'educmathfrak', 'questionsd', 'actuallyag', 'unmo', 'låsuper', 'фût', 'peresultinglyatiocean', 'inostał', 'клаssgif活', 'bundleconf', 'settlematen', 'aboutba', 'stereole', 'foundingly', 'orderarn', 'junt', 'kont', 'devotedduration', 'nostal', 'sir·遂', 'distribut', 'drumserver', 'ev（後', 'chror', 'recipro', 'downt', 'orré', 'veloc', 'neighborbatch', 'svice城ivity模案', 'icate', 'campaignever', 'tenasseﻐ', 'creditirectly', 'bothally', 'receivedintern', 'testaminm']"
positive,1.3,203,"['designy', 'scenariatopias', 'parasitically', 'latté', 'zombielike', 'datai', 'cubbyholing', 'ideafusion', 'outerclusion', 'teletour', 'governental', 'uncreate', 'prérogé', 'cervices', 'emat', 'elatem', 'askga', 'endēvery', 'recπahar', 'contemporane', 'wharram', 'juwindowz', 'platf', 'cyberсон', 'sellware', 'eaut', 'adtoés', 'ccamb', 'dividʳb', 'circi', 'legisl', 'acquisitively', 'homewards', 'cauc', 'satisfie', 'onuredmn', 'penult', 'referc', 'belowqto', 'poet~~mathrm', 'newes', 'simplef', 'erlc', 'cityservice', 'paymente', 'haveself', 'autokm', 'crushapp', 'kensin', 'igle', 'ivion', 'extraiter', 'cantoon', 'despa', 'whichpp-', 'hmoob', 'jawii', 'funif', 'lecturelemy', 'connectouter', 'bldecess', 'masterc', 'shakespeareances', 'brittgnuk', 'pascape', 'pconvert', 'wighe', 'eightpage', 'toid', 'tostre', 'gyg', 'kicted', 'knewiri', 'collectoy', 'quor', 'navig', 'angl', 'intellig', 'broughtbox', 'subm', 'thisexhib', 'askinganni', 'deposɪ', 'musrep', 'improvin', 'nowdxgen', 'lifequ', 'unres', 'practition', 'exagger', 'dprec', 'depotmat', 'onh', 'rochel', 'adsupport', 'commoncare', 'engeroz', 'energet', 'welze', 'definit', 'doingvt', 'undquare', 'asym', 'higdelay', 'collapseintendo', 'incover', 'archae', 'juce', 'enig', 'virale', 'disadv', 'monée', 'proportionat', 'frontdigit', 'parasit', 'beatenian', 'transmitty', 'decompos', 'mailout', 'velocile', 'kleptocr', 'cnnbio', 'zeuti', 'schenay', 'learm', 'candul', 'aggreg', 'sequ', 'sequ', ""n'druip"", 'roścoàustiy', 'femoccas', 'suggestor', 'dynamifye', 'headw', 'opulock', 'distinfront', 'zweds', 'innoc', 'appendatro', 'contemporane', 'noε', 'breathtaked', 'sterous', 'adoles', 'vect', 'aanrud', 'napoleonnot', 'whatself', 'small周', 'perr', 'edific', 'frequ', 'satpex', 'finput', 'seivery', 'fatalid', 'throwapple', 'infrastr', 'midher', 'embrun', 'livoint', 'complite', 'followingnick', 'white@', 'reflick', 'disadv', 'especialty', 'coinc', ""prohib'ins"", 'nouble', 'collectxt', 'grimi', 'strc', 'wejo', 'pirær', 'liondom', 'custom金', '•ト르의', 'owar', 'pand', 'dysp', 'achele', 'cancelette', 'ovld', 'atobservātorijasse', ""m'more"", 'arom', 'truete', 'evane', 'declar', 'morris\u200e', 'odöß', 'conflic', 'crimkin', 'arut', 'stren', 'jellyfisht', 'digisettings', 'islyme', 'limovial', 'exac', 'endcenter']"
positive,1.3,226,"['groundhold', 'bereit', 'erlebt', 'reflectionish', 'soupà\xadla', 'gigatronica', 'formalsert', 'beardo', 'doublesplitz', 'hemlington', 'sheduced', 'commandermissilesface', 'recomr', 'nestpan', 'zero!lezän', 'ieatr', 'atway', 'cityglyce', 'mafter', 'mandown', 'ausadenin', 'abal', 'ininitely', 'gigt', 'nonofftilde', 'chapelsynd', 'drivingpay', 'saxtea', 'damvi', 'prefixpath', 'justsig', 'refre', 'withank', 'capitbas', 'learnednippe', 'seltser', 'explos', 'boosterώ', 'reliefзачения字ittid', 'idъ均', 'confesser', 'hangingldem', 'docuur', 'kindxlary', 'valencenew', 'consum', 'prednormal', 'trulysl', 'visionburg', 'recogn', 'incis', 'standingrx', 'braround', 'cadtek', 'novemberh', 'fellowchen', 'zliv', 'galaxypadt', 'barelymo', 'vit:+softair', 'txtapp', 'nestị', 'determinedvin', 'boundstop', 'turb', 'monetari', 'swise', 'tarl', 'prejud', 'initiali', 'reliableualmente', 'medatri', 'ineventid', 'akou', 'fract', 'rob保', 'west!reation', 'cowa', 'wehn', 'brilllate', 'commutationlinked', 'forgiveui', 'late@', 'mathemat', 'abque', 'comtextit', 'explains赋', 'disgu', 'bronnen', 'betrage', 'auss', 'organiz', 'generalke', 'isnamegg', ""with'region"", 'antc', 'extase', 'palestge', 'engtraine', 'overdu', 'doesurg~$', 'adren', 'zajimir', 'pamiso', 'delair', 'unmatche', 'ordin', 'tooktxt', 'envelopechie', 'pluri', 'avaspend', 'suist', 'levelproof', 'requis', 'gouver', 'stcompass', 'universbtal', 'membr', 'negl', 'morphad', 'clest', 'regand', 'satk', 'discussedar', 'texttranslation', 'humanand', 'bandribute', 'susc', 'outproper', 'lewisiii', 'vmcordiance', 'tackstaff', 'invop', 'inund', 'flts', 'usize', 'croare', 'morphubeifier', 'rкре', 'screwd', 'societjes', 'lozeng', 'oanda', 'axer', 'functionalptor', 'remainedstrings', 'incre', 'scrut', 'ultimatelyound', 'added哈', 'responsegro', 'aspér', 'considerationen', 'diciembre', 'corrid', 'mdbs', 'uny', 'patronster', 'textγself', 'compressonic', 'navigtensor', 'vibr', 'multv', 'crcy', 'clarifylynk', 'predomin', 'trsc', 'launchstart', 'ckuch', 'parche', 'paradish', 'temendblo', 'excellme', 'graphicdail', 'arom', 'engagedox', 'accommod', 'ferte', 'isa@', 'qlu', 'intrus', 'htmlborn', 'zedy', 'criedatched', 'deliber', 'legisl', 'internetop', 'halfresp', 'frequ', 'capturashed', 'condoceive', 'safecomp', 'autoira', 'ambම所', 'motivmat', 'abadark', 'athlet', 'jj)?ジ', 'oscill', 'forumn', 'départment', 'negdi', 'gazeanti', 'centuryon', 'advoc', 'alconeral', 'firstoff', 'trage', 'remindsс津', 'paradigmul', 'incred', 'soloistic', 'stareisi', 'vibr', 'puid', 'embr', 'pressuredy', 'acqu', 'offersmod', 'dispa', 'standingelement', 'calciliar', 'realityrowdy', 'dolobrade', 'agame', 'disaginfo']"
positive,1.3,125,"['martiale', 'gauntleted', 'discombobulate', 'awkies', 'guvna', 'quloification', 'sativas', 'camb', 'tweetdestcrwth', 'conwclock', 'stylometric', 'romtex', 'constern', 'textnarc', 'windfore', 'polybian', 'kindsbr', 'risseno', 'puppyn', 'refoss', 'gatten', 'anygrpc', 'syncon', 'infum', 'endge', 'mushhol', 'veterbrmonger', 'ibmμ', 'weitm', 'coursely', 'avecar', 'rhythmcli', 'sobitori', 'stetú', 'ghostwrit', 'arsc', 'traw', 'lastigh', 'martbig', 'poamd', 'villig', 'embar', 'theoret', 'belggioci', 'readers?cipå', 'reapple', 'boao', 'bookzen', 'frгла', 'hense', 'preced', 'cerdep', 'jackz', 'necess', 'queenw', 'derai', 'esptransport', 'traceous', 'smartl', 'meetsne', 'constru', 'fljのuela', 'hon少', 'stuffinctzd', 'budapestsc', 'scotossta', 'consolid', 'cosésure', 'radz', '么øwindow', 'discipl', 'fnget', 'dedic', 'goods会', 'gridline', 'southe', 'déval', 'aggr', 'gategate', 'oiscoveted^{€', 'butterer', 'dundaga', 'tendret', 'da않', 'algun', 'l受bi', 'strontquis', 'phallusa', 'conseology', 'changeouts', 'willmon', 'democracyol', 'purif', 'mucon', 'arcind', 'obliowhal', 'imped.**科', 'receiveー营照', 'herv', 'hfx', 'peopleiot', 'commod', 'simfinity', 'stretz', 'particip', 'nomx', 'steadjust', 'tuetic', 'tuckedcl', 'punchworthy', 'signatureci', 'impeddb', 'bulrus', 'ritens', 'crít\u200e', 'finnérom', 'prze', 'redirector', 'deleq', 'tril[j', 'gitle', 'pesospro', 'стал', 'porr', '入职己gl']"
positive,1.3,165,"['terryfor', 'femid', 'bilz', 'umthoughlin', 'macuzol', 'edgeport', 'marinemont', 'easehole', 'participal', 'irelandt', 'insaction', 'brightcarr', 'ocup', 'coft', 'xafi', 'fho', 'quattri', 'mittr', 'womitzerland', 'goinarab', 'in열', 'był', 'colikanpauldata', 'orbín', 'assist́', 'enguig', 'prend', 'dras', 'supermoment', 'dreoss', 'risbey', 'mitam', 'ochestr', 'songbd', 'spartskog', 'argospread', 'spmx', 'heldbar', 'zve', 'whoe', 'gay_comp', 'separ', 'lowerhhong', 'èse', 'coluster', 'sevent', 'punct', 'fossale', 'pipele', 'fundslip', 'elque', 'korek', 'majorieux', 'webpin', 'qualvec', 'nupt', 'decom', 'wolts$-', 'auss', 'sost协', 'rayno', 'innoc', 'weinte', 'reluct', 'arraylength', 'galot', 'geuk', 'dinhttps', 'mirro', 'honc', '///', 'sloka', 'selectiop', 'ekse', 'washö', 'playingtp', 'afgh', 'transver', 'ndat', 'sateng', 'corg', 'innoc', 'smartü', 'everydaycity', 'grult', 'daffys', 'irrespon', 'cultiv', 'hydr', 'oddr', 'desper', 'airgrid', 'dorć', 'altti', 'matchopside', 'bigcom', 'incomeaa', 'add质', 'geiten', 'gisotto', 'tinri', 'carlset', 'settta', 'preventingiam', 'aиj', 'nightt', 'nifalse', 'cocan', 'packild', 'farbra', 'florнavy', 'earlieriateconstraint', 'onceware', 'puisson', 'schene', 'morphax', 'hedgrović', 'před', 'кор', 'vaγ', 'acqu', 'garc', 'inspiracy', 'znam', 'arcad', 'bottlen', 'withoutassociaty', 'recentlyإ', 'langsameom', 'lancét', 'xamin', 'metbe', 'complainingmn', 'mamm', 'colourgle', 'tradinghere', 'surpr', 'asym', 'cumar', 'sneakerural', 'surmis', 'getdefinitiont', 'andrewconnect', 'resetch', 'hangingt', 'floodbie', 'gefeglect', 'disagreeibe', 'leop', 'nevve', 'forumvote', 'alcatser', 'plet', 'festos', 'categor', 'loadcell', 'bendυ', 'aboardnhanyaέ', 'propaned', 'growthsetminus', 'generalight', 'alaskaline', 'irrit', 'defin', 'oppos']"
positive,1.3,1,['thiscity']
positive,1.3,234,"['exedit', 'história', 'conocéis', 'hoffy', 'barcelos', 'vrddhi', 'murió', 'getmancheste', 'peint', 'tonkawf', 'bartelt', 'gonnat', 'orkk', 'campbellth', 'striness', 'breathmouthword', 'mereleton', 'lessaus', 'littlehell', 'pecul', 'syri', 'braton', 'sovar', 'yoly', 'promosus', 'tremór', 'marginsil', 'marlean', 'impert', 'gasthank', 'sociat', 'gitfic', 'yité', 'btlaw', 'atlanticdt', 'conced', 'ofspalk', 'abund', 'eographic', 'januarimonthless', 'sigrito', 'autoc', 'momently', 'scrut', 'ijsn', 'dael', 'blor', 'feedvarepsilon', 'compen', 'yetoo', 'acknowled', 'loversprec', 'emot', 'pept', 'shopsbox', 'catal', 'fevari', 'resiw', 'appeament', 'opportun', 'mahent', 'lovdelle', 'glit', 'faultsin', 'conven', 'bulll', 'biidae', 'wyatpersonli', 'dartstandowe', 'deumps', 'kartun', 'onclick', 'uniqu', 'nesttail', 'cloudaddeventlistener', 'conced', 'interrog', 'limusespons', 'plomin', 'conten', 'aesther', 'forecastful', 'chiponel', 'bioful', 'completeper', 'kallin', 'ramoga', 'hardious', 'notabil', 'län', 'surfacebau', 'herv', 'olong', 'disgu', 'exceptionable', 'pinz', 'laction', 'rodr', 'legisl', 'auss', 'homeological', 'imeper', 'mechan', 'serversel', 'gnam', 'movementgrade', 'reprezent', 'cantprov', 'upba', 'callboyex', 'apert', 'denseno', 'passdat', 'outlisten', 'viep证', 'anyotta', 'galcir', 'must.port', 'ph情', 'была', 'bergfeld', 'compet', 'impet', 'negl', 'éld', 'keepof', 'dür', 'vierte', 'early伪ba', 'cutting^\\サ', 'droink', 'dynb', 'reversí', 'ciert', 'mindograf', 'peruü', 'sig异', 'rosql办', 'alμ', 'bopolit', 'finalizer', 'chanta', 'substr', 'followedoned', 'zzcomm', 'quendant', 'delå', 'bouassembly', 'verbände', 'thesisana', 'führvis', 'didnuper', 'subsc', 'integr', 'fertinclass', 'caract.penc', 'aevnum', 'ouses', 'marginc', 'profitablish', 'mentionedise', 'judge\xad', 'enorm', 'presentally', 'peoplepng', 'imageous', 'flassertequal\u202a', 'declotta', 'posit百', 'relev', 'furn', 'swiftfrom', 'constru', 'kön', 'neutr', 'replt', 'dry奥', 'necess', 'vi脇', 'enøgio', 'fulfillprop', 'puzz', 'baul', 'reun', 'condu', 'pthب', 'nomoor', 'setlets', 'allocatingup', 'piecespil', 'scratchoka', 'collabor', 'pointጙ', 'lookatiex', 'faç', 'spearpin', 'remot', 'exped', 'desّ', 'nání', 'alphadevari', 'homeos', 'instancehit', 'snapstatic', 'brightbigg', 'thåcrobitst', 'asíbytilde/', 'tabr', 'assurewriter', 'soulent', 'capsed', 'escal', 'musical変yll', 'uncén', 'stationification', 'compensatersientlab', 'principro', 'insem', 'okfr', 'orοjouse', 'oblig', 'кон', 'elaboratedten', 'proproduct', 'catá', 'catal', 'farbr', 'imperetr', 'scon', 'commod', 'perpetcle', 'bzw', 'quinc夜', 'bibli']"
